Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/12134-Amblewood-Dr-Meadows-Place-TX-77477/27577630_zpid/,,House for sale,Single Family,,339900,No,,,2477,sqft,137.22,5449.36,sqft,5,3,"Dr. Sean Realty, LLC",,12134 Amblewood Dr,Meadows Place,77477,TX,USA
https://www.zillow.com/homedetails/3111-Mullingar-Walk-Missouri-City-TX-77459/72061334_zpid/,,House for sale,Single Family,,825000,Yes,25000,06/09/2023,4868,sqft,169.47,10402.13,sqft,5,4,BHGRE Gary Greene,,3111 Mullingar Walk,Missouri City,77459,TX,USA
https://www.zillow.com/homedetails/7720-Park-Vista-Dr-Houston-TX-77072/28390314_zpid/,,House for sale,Single Family,2,170000,No,,,1074,sqft,158.29,2543.9,sqft,2,2,MEDI REALTY GROUP,,7720 Park Vista Dr,Houston,77072,TX,USA
https://www.zillow.com/homedetails/16-Palmero-Way-Manvel-TX-77578/80235835_zpid/,,New construction,Unknown,,470400,No,,,2863,sqft,164.3,8167.5,sqft,4,4,Keller Williams Realty - Memor,,16 Palmero Way,Manvel,77578,TX,USA
https://www.zillow.com/homedetails/20266-Smithfield-Crossing-Ln-Katy-TX-77449/28363373_zpid/,,House for sale,Single Family,,259000,No,,,1236,sqft,209.55,5776.06,sqft,3,2,JLA Realty,,20266 Smithfield Crossing Ln,Katy,77449,TX,USA
https://www.zillow.com/homedetails/3915-Tuam-St-Houston-TX-77004/27755944_zpid/,,Multi-family home for sale,Multi Family,8,259000,No,,,1824,sqft,142,6499.15,sqft,4,2,Echelon Team Realty,,3915 Tuam St,Houston,77004,TX,USA
https://www.zillow.com/homedetails/218-Stoneroller-Dr-Rosenberg-TX-77469/124271515_zpid/,,House for sale,Single Family,,325000,No,,,2135,sqft,152.22,6011.28,sqft,4,3,NextHome Fine Properties,,218 Stoneroller Dr,Rosenberg,77469,TX,USA
https://www.zillow.com/homedetails/19714-Lakeside-Pointe-Ct-Richmond-TX-77407/176800676_zpid/,,House for sale,Single Family,,400000,No,,,2166,sqft,184.67,6451.24,sqft,4,2,"eXp Realty, LLC",,19714 Lakeside Pointe Ct,Richmond,77407,TX,USA
https://www.zillow.com/homedetails/22619-Blue-Canyon-Dr-Katy-TX-77450/50208239_zpid/,,House for sale,Single Family,,440000,No,,,2201,sqft,199.91,7614.29,sqft,2,2,Heart and Home Realty Group,,22619 Blue Canyon Dr,Katy,77450,TX,USA
https://www.zillow.com/homedetails/3505-Sage-Rd-UNIT-314-Houston-TX-77056/62590708_zpid/,,Condo for sale,Condominium,2,290000,No,,,1399,sqft,207.29,,,2,3,"Kiani Realty, LLC",,3505 Sage Rd UNIT 314,Houston,77056,TX,USA
